,part_number,description_x,lot,qty
1423,R756,Kelp (Norwegian or Icelandic),"4443
",25.00
78,FG300,Garcinia Cambogia Complex 700mg w/95% - Sample Bottle 60ct,"GC71216-60
",25.00
77,FG299,Forskolin 250mg - Sample Bottle 60ct,"CF70519-60
",25.00
75,FG297,Female Enhancement - Sample Bottle 60ct,"FEM80521-60
",25.00
74,FG296,Eye Health - Sample Bottle 60ct,"EYE80202-60
",25.00
971,R1245,L-Leucine (Vegetarian Source),"CP03190905
",25.00
73,FG295,Elderberry - Sample Bottle 60ct,"ELD81020-60
",25.00
72,FG294,Digestive Enzyme - Sample Bottle 60ct,"DEB80418
",25.00
71,FG293,White Mulberry Extract Blend - Sample Bottle 60ct,"WMB60601-60
",25.00
70,FG292,CoQ10 Ubiquinone - Sample Bottle 30ct,"CQ60412-60
",25.00
69,FG291,Colon Sweep - Sample Bottle 60ct,"CS80517
",25.00
530,PS#10276,"6 X 6 X 4"" Corrugated boxes","09-02-2021
",25.00
941,R1221,Senna Leaf Extract (20% Sennosides),"06420
",25.00
65,FG288,Organic Ceylon Cinnamon - Sample Bottle 60ct,"CNM80821-60
",25.00
64,FG287,Chlorella - Sample Bottle 60ct,"CHL81112-60
",25.00
88,FG311,Keto Ultra - Sample Bottle 60ct,"RKU80809-60
",25.00
62,FG285,Blood Sugar Ultra - Sample Bottle 60ct,"BSU81220-60
",25.00
59,FG284,Biotin Pure - Sample Bottle 60ct,"BIO81024-60
",25.00
1268,R446,Tongkat Ali Extract 100:1 (root),"21070102
",25.00
58,FG283,Best Sellers Blend - Sample Bottle 60ct,"BSB81010-60
",25.00
1450,R817,"Beta-1,3 / 1,6-Glucan 70%","BE200414
",25.00
54,FG280,Apple Cider Vinegar - Sample Bottle 60ct,"ACVP80601-60
",25.00
53,FG279,Anxiety - Sample Bottle 60ct,"AXS81127-60
",25.00
52,FG278,Raspberry Ketone - Sample Bottle 60ct,"RKU80809-60
",25.00
51,FG277,Activated Charcoal - Sample Bottle 60ct,"10968-60
",25.00
50,FG276,5-HTP - Sample Bottle 60 ct,"11174-60
",25.00
1491,R869,Nutrafinish Dietary Supplement Yellow 145B120002,"WP836901
",25.00
82,FG304,Green Coffee Bean w/GCA - Sample Bottle 60ct,"GCB70309-60
",25.00
67,FG290,"Collagen I, II, III, V, X - Sample Bottle 60ct","COLB1116-60
",25.00
83,FG305,Green Tea Plus - Sample Bottle 60ct,"BSB81010-60
",25.00
85,FG307,Horny Goat Weed Blend - Sample Bottle 60ct,"HGW80602-60
",25.00
1181,R297,Astragalus Extract 4:1,"HQT-200318
",25.00
1116,R188,L-Taurine,"XK20123118
",25.00
87,FG309,Keto 5 - Sample Bottle 60ct,"BSB81010-60
",25.00
86,FG308,Joint Flex Support - Sample Bottle 60ct,"JS71115-60
",25.00
84,FG306,Hair Skin Nails - Sample Bottle 60ct,"HSN80913-60
",25.00
176,L#509,"Hard Iron Labs / Clark Supplements, L-Carnitine 1000 mg - 60 ct Label",,249.00
145,L#390,"Benevolent Nourishments, Berberine HCl - 120 ct Label",,247.00
426,PS#10198,300cc Black PET W/M Packer 45/400,"U053027
",240.00
309,PS#10069,10x10x10 DW boxes,,240.00
428,PS#10198,300cc Black PET W/M Packer 45/400,"WE103021
",240.00
315,PS#10083,ALPHA - 150cc Dark Amber PET Bottle 38-400 410/case,"F190876
",240.00
1160,R254,"Vitamin D3 Cholecalciferol (100,000 IU/g)","2020121301
",24.91
1382,R682,Cinnamon Ceylon,"CCPP20210115-2
",24.88
1247,R414,Maca Root Extract 10:1,"2021062904
",24.88
1497,R881,Nu-MAGÃÂ® Natural (Rice extract Blend),"117-21
",24.88
1381,R681,Goldenseal Root Powder,"200425
",24.88
1228,R391,Nettle Leaf Extract 4:1,"NE21052710
",24.88
1084,R144,Licorice Root Extract 4:1,"LR210418
",24.88
1073,R1369,Cinnamon Cassia Bark Extract 4:1 (COO: Non-Chinese),"CSE-20210406
",24.877
1193,R323,Magnolia Bark Extract Honokiol 2% HPLC,"CMO20201210
",24.87
1269,R447,Catuaba Bark Powder,"SBT-S121032B
",24.87
675,R021,Chitosan Powder,"NIGHT90-1911V296619
",24.87
1364,R634,Opadry Orange 03B130037,"WP839750
",24.87
1499,R883,goBHBÃÂ® Sodium Beta-Hydroxybutyrate,"28A-KY20190705
",24.87
723,R053,Hyaluronic Acid (Sodium Hyaluronate),"2021012505
",24.845
1373,R660,Plantain Extract 4:1,"2108200560
",24.845
1285,R457,Malic Acid,"CS11659
",24.845
1290,R463,L-Selenomethionine Trit on DCP 0.5%,"N21170
",24.835
1483,R862,Shilajit (Std. to 20% Fulvic Acid),"NBT-21067
",24.795
1561,R971,Sprouted Broccoli Seed,"102520
",24.72
1390,R695,Waxy Maize,"20200314118
",24.537
1151,R244,Copper Aminomin 10% Fine Powder,"TRF-20210510
",24.408
1395,R699,BCAA 2:1:1 (Instant),"374204141
",24.40
1240,R406,Wolfberry (Goji Berry) Extract 40% (10:1),"20180821
",24.40
1530,R924,Triphala Powder (organic),"SNE/DE/06TP/0525/20
",24.243
1178,R295,Olive Leaf Extract 4:1,"GLY-200411
",24.239
965,R1240,Citrus Bergamot Extract (Citrus bergamia) (30% Polyphenols),"FSG200116
",24.145
1498,R882,goBHBÃÂ® Calcium Beta-Hydroxybutyrate,"28C-KY20200702
",24.076
1132,R216,L-Proline,"2201225065
",24.00
55,FG281,Ashwagandha - Sample Bottle 60ct,"ASH80626-60
",24.00
290,PS#10036,70-400 White Pressure Sensitive Smooth Lid,"41566
",24.00
127,FG350,Pet Joint w/Turmeric - Sample Bottle 60ct,"10955-60
",24.00
1096,R158,"Cayenne Pepper Powder (Capsicum annuum) 40,000 hu/g","SBU-S070393
",24.00
1087,R148,Psyllium Husk 95%,"16088
",24.00
102,FG324,Omega 3 - Pure Fish Oil 36/24 - Sample Bottle 60ct,"0118455-60
",24.00
1512,R904,Skullcap Root Powder,"BAP20190306
",24.00
650,PS#10414,U-Line Comfort-Grip Knife,,24.00
300,PS#10061,0.5 gram Desiccants 6000/case,"USUH010590
","24,100.00"
336,PS#10105,25oz White HDPE Canister 89-400 96/case,"M202655
",232.00
424,PS#10193-COMAR,225cc Clear PET Bottle 45-400 335/case (PX),"12478688
",230.00
1522,R914,Cordyceps Mushroom P.E. (4% Cordyceps Acids)(Organic),"20181101
",23.97
825,R1085,White Mulberry Leaf 5:1 Extract (Morus Alba),"WM210527
",23.90
1072,R1368,Organic Fenugreek (Trigonella foenumgraecum) (seed) (COO: Non-Chinese),"10FEPH210601
",23.8437
1250,R417,Muira Puama Extract 10:1,"HHM-200816
",23.80
961,R1238,Astragalus Root Extract (Astragalus membranaceus) (50% Polysaccharides),"200316
",23.80
1300,R474,Ginger Root Extract 4:1,"20200810
",23.752
801,R105,Echinacea Purpurea Herb Powder,"ZZJ-2027114
",23.60
1295,R470,Hesperidin 90%,"SY20210103-1
",23.526
1529,R923,Silymarin (from Organic Milk Thistle Extract),"MT19080780
",23.50
1174,R279,Glucomannan 95% (Konjac),"SBT-S040386
",23.457
830,R1090,D-Mannose,"DM190923
",23.39
680,R024,Guarana Seed Extract 22% Caffeine,"SB20-H121929
",23.16
895,R1162,Magnesium Ascorbate 20%,"1050909
",23.03
1371,R656,Corn Silk Extract 4:1,"ZM20200221-2
",23.011
57,FG282,Berberine - Sample Bottle 60ct,"BER81217-60
",23.00
1136,R220,Sucralose,"202106029
",23.00
128,FG351,Pet Turmeric - Sample Bottle 60ct,"10935-60
",23.00
110,FG334,Sleep Formula - Sample Bottle 60ct,"SLP80604-60
",23.00
122,FG346,Total Pet Health - Sample Bottle 60ct,"10335-60
",23.00
100,FG322,Neuro Plus Brain and Focus - Sample Bottle 60ct,"NBE81221-60
",23.00
314,PS#10082,"3x5"" 2 Mil White Block Reclosable Bags - 1,000 / box",,"23,000.00"
175,L#508,"Hard Iron Labs / Built by Nature, L-Carnitine 1000 mg - 60 ct Label",,229.00
378,PS#10145,"Plastic Pallets 48""x40""",,225.00
954,R1233,00 K-CAPS Vegetable Origin Capsules,"KC210320100
","225,000.00"
733,R063,Isopropyl Alcohol,"18AK509874
",220.00
1523,R915,Fulvic Mineral Powder (MLG-50Ã¢ÂÂ¢) (40% Fulvic Acid / Humic Acid),"20080
",22.952
802,R1050,Valerian Root Powder,NIGVALRP-2011V00719P,22.85
1205,R350,Slippery Elm Bark Extract 4:1,"SLI20190428-1
",22.81
1396,R699,BCAA 2:1:1 (Instant),"BFS20210502003
",22.804
701,R044,L-Tyrosine,"CP3721030101
",22.80
1492,R872,Organic Flax Seed Powder,"93156-53
",22.77
1053,R1344,Naringin (from Grapefruit extract),"21053003
",22.734
1241,R407,Potassium Bitartrate,"BF20B221CA
",22.68
1273,R450,Oyster Shell Powder,"064201
",22.60
963,R124,Magnesium Oxide (Granular),NIGMAGXG-2108V036456,22.525
1216,R367,AlphaSize 50P (Alpha GPC),"CS-GPC-201219
",22.454
1574,R992,Black Sesame Seed Extract,"DN-HM20190324
",22.413
1071,R1367,Gymnema Sylvestre Extract (25% Gymnemic Acid) (leaf) (COO: Non-Chinese),"GYM25-210410
",22.38
1100,R165,Garcinia Cambogia Extract 50%,"GC011901
",22.37
3,CS#5089,Chromium Aspartate (Cr 2%) Aspartic Acid,"523360
",22.20
1172,R274,Manganese Aminomin 10%,"0001041159
",22.20
367,PS#10128,Surgical Masks - 50 / box,,22.00
1149,R241,Licorice Root Powder,"GCF-200618
",22.00
1338,R554,D-Aspartic Acid,"2001174
",22.00
131,L#246,"Neuropharmacology Research, Dr. Scott's Natural Sleep Remedy - 60ct Label",,218.00
421,PS#10193-COMAR,225cc Clear PET Bottle 45-400 335/case (PX),"12685213
",218.00
758,R095,Zinc Oxide 80%,"21B3M307C
",213.75
191,PS#10003,COMAR-150cc White HDPE Bottle 38-400 450/case,"12931951
",210.00
1436,R796,00 (Delayed Release) DRcaps Vegetable Clear Capsules,"9043236
","210,000.00"
737,R067,Dandelion Root Extract 4:1,"20200719
",21.957
1086,R145,Milk Thistle Extract 80% Silymarin,"SM200541A
",21.95
914,R1188,"Orange Flavor, Osage FLA114977","101-201124-598
",21.896
843,R1108,Lavender Flower Powder,"19-12-207-ER1112
",21.821
1524,R916,Garlic Extract 20:1 (Organic),"CDAS-C-911251
",21.816
929,R1207,Ashwagandha Extract (5% Withanolides),"NBT-21051
",21.807
1509,R899,Ginkgo Biloba Leaf Powder,"20-11-177-ER995
",21.64
1127,R210,Cascara Sagrada P.E. 4:1,"NAR20190707
",21.59
681,R025,Grape Seed Extract 95% Proanthocyanidins,"201210-1
",21.546
1065,R1357,Organic Shiitake mushroom extract 1:1 [Lentinula edodes],"OSME-20210518
",21.199
1294,R466,Vitamin B1 Thiamine HCl,"JWTMBYYS-T-006072
",21.157
792,R1039,Raw Spleen Powder (Bovine),"7603
",21.10
1243,R410,Milk Thistle Seed Extract 4:1,"SFJ-210402
",21.00
743,R071,Echinacea Angustifolia Herb Powder,"NIGEAHP-1907V058724
",21.00
546,PS#10296,45-400 white lid ribbed sides vented foil seal 2000/case,"201905530310
","21,386.00"
1490,R869,Nutrafinish Dietary Supplement Yellow 145B120002,"WP848367
",204.845
155,L#468,"Goodness Lover LLC, Prebiotic (Unflavored) - 30 ct Label",,201.00
447,PS#10211-COMAR,150cc Blue PET Bottle 38-400 PZ (Tall Skinny),"8651672
",200.00
567,PS#10308,MRP-38-400 White NGII Pour Lid,"373705
",200.00
10,CS#5188,3oz White HDPE Cylinder 33mm SP.,,200.00
528,PS#10270,20x14x6 Box 32 ECT 25/bundle,"1
",200.00
513,PS#10262,COMAR - 225cc Light Amber PET Bottle 45-400,"9097613
",200.00
458,PS#10218,.05 x 150 x 195 CLEAR W/VERT PERF,"1
",200.00
391,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,"M203559
",200.00
317,PS#10083,ALPHA - 150cc Dark Amber PET Bottle 38-400 410/case,"F181821
",200.00
339,PS#10105,25oz White HDPE Canister 89-400 96/case,"10656701
",200.00
270,PS#10024,38-400 White Ribbed Lid - Heat Induction Liner Shiny Top 2900/case,"L400GAR
",200.00
1062,R1354,Organic Schisandra Powder,"SCP20210529
",20.866
1060,R1352,Organic Cordyceps Mushroom Extract 1:1 [Cordyceps milltaris][Fruiting Body],"OCOE-20210218
",20.79
1063,R1355,Organic Turkey Tail Mushroom Extract 1:1 [Trametes versicolor][Coriolus],"OTTE-20210210
",20.77
1064,R1356,Organic Red Reishi Mushroom Extract 1:1 [Ganoderma lucidum][lingzhi],"ORME-2021-06-20
",20.71
871,R1136,Organic Licorice Root Powder,"HK200218
",20.605
974,R1249,N-Acetyl L-Cysteine (Vegan),"C103-202101309F
",20.55
822,R108,Royal Jelly 3X,"NGRJP4-1902V095550
",20.486
866,R1129,Glucosamine Sulfate 2KCl (30-40 Mesh),"S202105068
",20.465
1535,R934,Organic Wheat grass,"20180506
",20.432
1037,R1328,Angelica Danhurica Root 10:1 Extract,"AD20210302-R
",20.418
1283,R456,Bilberry Fruit Extract 4:1,"CBV20210309-1
",20.40
1344,R582,Skullcap Root P.E. 4:1,"20190316
",20.309
1067,R1359,Organic Codonopsis Powder,"HK210902
",20.28
869,R1134,Organic Slippery Elm Powder,"CYSP-C-925898
",20.148
1402,R708,Grape Skin Extract 4:1,"GS20110405
",20.104
917,R1193,Organic Nopal (Cactus) Opuntia ficus-indica) (cladode),"MEOG6670030A
",20.10
1138,R224,Saw Palmetto Extract 4:1,"JYZ-200903
",20.02
976,R1252,Black Walnut Hull Powder [Green Harvested] (Juglans nigra),"19F178-483
",20.00
1002,R1284,Skullcap Extract 10:1 (root),"20200811
",20.00
93,FG316,Magnesium Glycinate - Sample Bottle 60ct,"MAG80516-60
",20.00
456,PS#10216,"QC Approval 2"" circle label - Green 500/roll","10216
",20.00
1525,R917,Humate / Black Mineral Powder,"20190816
",20.00
784,R1033,Red Yeast Rice (Monascus purureus),"HQM-190810
",20.00
1502,R888,Hydrolyzed Bovine Collagen (Osage),"C2019069
",20.00
1004,R1286,Rosemary Extract (20% Rosmarinic Acid) (leaf),"QCMDX-C-A091864
",2.964
1570,R988,Pygeum Bark Extract 3% Phytosterols GC 4:1,"CTGM-C-A002084
",2.956
1421,R749,Fenugreek Extract (50% Saponins),"CHLB-A-902536
",2.953
1282,R454,Blessed Thistle Powder,"CCYH-A-802598
",2.934
1040,R1331,Arugula (Eruca vesicaria),"20210616
",2.92
1432,R785,Broccoli Powder,"XLH20210313
",2.92
1353,R611,Ascorbyl Palmitate,"10500120210202
",2.919
1456,R830,L-Tryptophan,"SBT-S060515
",2.919
1255,R426,Blueberry Fruit Powder,"CLM-A-925836
",2.90
1083,R144,Licorice Root Extract 4:1,"GCT-20205508
",2.90
1548,R952,Organic Green Papaya Powder,"TM200102
",2.877
975,R1250,Hovenia Dulcis (Standardized to 98% DHM),"DHM20200806
",2.862
1251,R417,Muira Puama Extract 10:1,"MUP/2163
",2.826
852,R112,Celery Seed Powder,"20190314
",2.82
691,R034,Spirulina Powder,"0520191011
",2.82
1232,R398,Selenium Amino Acid Chelate 0.2%,"810441
",2.80
1169,R270,Boron Citrate 5%,"561428
",2.80
766,R1009,Rhodiola Rosea Extract (3% Rosavins + 1% Salidroside),"20201009
",2.80
1057,R1349,Omega-3 Powder (Yielding 50% Omega 3 Fatty Acids),"2106161373
",2.774
1079,R1376,Chrysanthemum 4:1 Extract,"18-05-105-2
",2.75
767,R101,Apple Pectin Powder,"SBT-S040275
",2.703
1048,R134,Chlorella Powder,"C0420190515
",2.70
1085,R145,Milk Thistle Extract 80% Silymarin,"20191024
",2.70
1195,R328,Hoodia Gordonii Powder,"KPHG-003-20
",2.696
991,R1269,Organic Black Cumin Seed Nutri-Pwd,"BCGSO200121-F org
",2.678
1355,R615,Zinc Bisglycinate Chelate 20% TRAACS,"752215
",2.677
876,R114,Spinach Powder,"SBU-S020092
",2.67
1437,R797,Organic Apple Cider Vinegar Powder,CO82001-02-20200905P,2.645
778,R1029,Organic Red Clover Powder,"93590-53Z
",2.604
1239,R405,Aloe Vera Powder 200:1,NIGAV200-1-2104V4371,2.60
938,R1219,"Vitamin D2 (Ergocalciferol) 100,000 IU/g","20017
",2.543
874,R1139,Organic Grape Seed Extract (95% Proanthocyanidins),"HK200302
",2.52
1108,R180,Gymnema Sylvestre Extract 4:1,"SB19-H070939
",2.50
1579,R998,Kenponashi (Japanese Rain Tree) Extract (Hovenia Dulcis Thunberg),"CZJZ-C-907070
",2.475
985,R126,Potassium Chloride FCC grade,"R120335852
",2.40
1135,R219,Phosphatidylserine 20%,"PSR20-200320
",2.339
1532,R924,Triphala Powder (organic),"P87256
",2.2675
1082,R139,Garlic Odor Reduced Powder,"GE200902
",2.236
1575,R994,Artichoke Flower Powder (Cynara Scolymus),"CCXJ-C-902819
",2.225
939,R122,"Lipase 10,000 FIP/g","1017
",2.218
846,R1111,Olive Leaf Powder,"CGLY-CA00279
",2.209
1010,R1298,SunfiberÃÂ® Prebiotic Fiber (Hydrolyzed Guar Gum) (Plant Origin),"101194
",2.20
1542,R945,Organic Pau D'Arco Powder,"PA20180615
",2.20
1487,R865,Organic Burdock Root Powder,"20200909
",2.20
1055,R1346,Natural Mixed Carotenoids 10% Powder (Vitamin A),NIGMICA10-2106V29900,2.138
856,R1123,PrimaVieÃÂ® Purified Shilajit,"PME-0154-19
",2.112
1538,R937,"Green Tea Extract | 98% Polyphenols, 50% EGCG, 80-90% Catechins","GT202009021
",2.099
1416,R739,FD&C RED NO. 40 POWDER,"AZ3296
",2.05
983,R1259,Magnesium Taurate (8% Magnesium),"T20201026
",2.034
1017,R131,Barley Grass Powder,"SBS-S040337B
",2.016
68,FG291,Colon Sweep - Sample Bottle 60ct,"CS90311
",2.00
543,PS#10290,44 Gallon Fibre Drum with Lid,"10-01-2021
",2.00
993,R127,Vitamin E (dl-alpha-tocopherol) Acetate (synthetic) 50%,"202007033
",2.00
306,PS#10066,Butcher Paper - White,,2.00
591,PS#10337,"Anti-Static Peanuts - White, 20 Cu. Ft. Bag",,2.00
590,PS#10336,.05 x 205 x 250 Full Body Sleeve (Cutband),"1
",2.00
628,PS#10387,White W/Red Lettering 2x3 EXPIRED Slip 1000/Roll,,2.00
544,PS#10290,44 Gallon Fibre Drum with Lid,"10-01-2021
",2.00
1120,R194,White Kidney Bean Extract 4:1,"WK190320
",2.00
728,R057,Shark Cartilage,"20210619
",2.00
312,PS#10076,"Poly Strapping - 1/2"" x .024"" x 7,200', Black","07/15/2021
",2.00
419,PS#10192,.05x77x500M Clear w/vertical perf rollstock,,2.00
646,PS#10410,Uline Industrial Elastic Coverall - XL 25/box,,2.00
647,PS#10411,Uline Industrial Elastic Coverall - 2XL 25/box,,2.00
310,PS#10071,"Uline Stick Staples - C34 3/4"" 20,000 / carton",,2.00
1248,R415,Tribulus Terrestris Extract 60%,"TE19072260
",2.00
1445,R814,L-Leucine (fermented),"L2002015
",2.00
659,R007,Calcium Carbonate Granular (DC95),"TGK21012
","2,989.432"
271,PS#10024-HDPE Bottles Only,38-400 White Ribbed Lid - Heat Induction Liner,"C82432569
","2,981.00"
169,L#495,Nature Gains LLC - Natu Roids Capsule - 120 ct AMAZON BARCODE,,"2,980.00"
134,L#299,"aSquared Brands, Magnesium Citrate - 200ct Label",,"2,965.00"
256,PS#10019,38-400 White Ribbed Lid - Pressure Sensitive Liner 2900/case,"522895
","2,900.00"
598,PS#10346,"38-400 White Ribbed Sides, universal lift & peel heat liner","202009585849
","2,900.00"
599,PS#10346,"38-400 White Ribbed Sides, universal lift & peel heat liner","202104603348
","2,900.00"
393,PS#10163,38-400 Black Ribbed Pressure Sensitive Liner 3100/case Matte top finish,"POM1004866-1
","2,900.00"
265,PS#10024,38-400 White Ribbed Lid - Heat Induction Liner Shiny Top 2900/case,"C82432569
","2,900.00"
276,PS#10026,38-400 Black Ribbed Lid - Heat Inductive Liner Matte Top 2900/case,"202007581063
","2,900.00"
272,PS#10025,38-400 White Smooth Lid - Heat Inductive Liner 2300/case,"202105607582
","2,900.00"
340,PS#10105-CBM,25oz White HDPE Canister 89-400 96/case,"547070799
","2,880.00"
204,PS#10003-SETCO,150cc White HDPE Bottle 38-400,"21-19736
","2,595.00"
194,PS#10003-ALPHA,150cc White HDPE Bottle 38-400 415/case,"P212048
","2,539.00"
210,PS#10006-ALPHA,225cc White HDPE Bottle 45-400 280/case,"P213036
","2,520.00"
576,PS#10312-AMCOR,250cc White PET Bottle 45-400,"20101614
","2,500.00"
452,PS#10215,"QC Rejected 2"" Circle labels - Red 500/roll","07/16/2021
","2,500.00"
347,PS#10106-Phoenix Closures,89-400 White Fine Rib Lid - Heat Inductive Liner,"L4001U3
","2,496.00"
596,PS#10343,89-400 Black Ribbed Vented Heat Induction liner,"JR00050257
","2,496.00"
202,PS#10003-ALPHA,150cc White HDPE Bottle 38-400 415/case,"P211115
","2,490.00"
387,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,"P203208
","2,450.00"
135,L#306,"aSquared Brands, Resveratrol + Polyphenols - 180ct label",,"2,439.00"
298,PS#10053,Clear with black print neckband 66 x 28mm,"10053
","2,400.00"
949,R1233,00 K-CAPS Vegetable Origin Capsules,"KC210320100
","2,400,000.00"
951,R1233,00 K-CAPS Vegetable Origin Capsules,"KC210320100
","2,400,000.00"
751,R082,0 Gelatin Clear Capsules,"C2100322000
","2,400,000.00"
540,PS#10288,"MRP-45-400 Blue Ribbed, Heat Inductive liner pantone color 286 (Custom Lid)","202001560163
","2,388.00"
174,L#506,Almark Products Inc (dba Doctors Premium) - Doctors Premium VitaControl - 30 ct Label,,"2,324.00"
545,PS#10295,TECNOCAP-45-400 Silver/Silver Unishell Lid HS035 Universal Heat Seal Liner,"26637-300
","2,300.00"
187,PS#10002-ALPHA,120cc White HDPE 38-400,"M201330
","2,250.00"
559,PS#10303,MRP-45-400 Silver Plastic lid heat seal liner smooth sides,"JR00044239
","2,200.00"
208,PS#10006,COMAR - 225cc White HDPE Bottle 45-400 340/case,"11808103
","2,163.00"
718,R050,00 Vcaps Plus Clear Capsules,"9051398
","2,100,000.00"
720,R050,00 Vcaps Plus Clear Capsules,"9051501
","2,100,000.00"
719,R050,00 Vcaps Plus Clear Capsules,"9051451
","2,100,000.00"
716,R050,00 Vcaps Plus Clear Capsules,"9051504
","2,100,000.00"
713,R050,00 Vcaps Plus Clear Capsules,"9051451
","2,100,000.00"
715,R050,00 Vcaps Plus Clear Capsules,"9051504
","2,100,000.00"
714,R050,00 Vcaps Plus Clear Capsules,"9051501
","2,100,000.00"
712,R050,00 Vcaps Plus Clear Capsules,"9051501
","2,100,000.00"
709,R050,00 Vcaps Plus Clear Capsules,"9051398
","2,100,000.00"
711,R050,00 Vcaps Plus Clear Capsules,"9051484
","2,100,000.00"
710,R050,00 Vcaps Plus Clear Capsules,"9051484
","2,100,000.00"
707,R050,00 Vcaps Plus Clear Capsules,"9051451
","2,100,000.00"
708,R050,00 Vcaps Plus Clear Capsules,"9051398
","2,100,000.00"
717,R050,00 Vcaps Plus Clear Capsules,"9051504
","2,100,000.00"
386,PS#10161-ALPHA,250cc Black PET Bottles 45-400 neck finish,"P212511
","2,090.00"
179,L#512,Naxtra LLC - Multi Supplement - 60 ct Label,,"2,084.00"
203,PS#10003-ALPHA,150cc White HDPE Bottle 38-400 415/case,"P211286
","2,075.00"
506,PS#10253,COMAR - 225cc Dark Amber PET Bottle 45-400 (PX),"23651813
","2,010.00"
205,PS#10004-SETCO,SETCO - 175cc White HDPE Bottle 38-400 500/case,"C83065883
","2,000.00"
553,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner","202008583978
","2,000.00"
396,PS#10166,"MRP-45-400 Black Ribbed, Pressure Sensitive liner, shiny top lid","201901515332
","2,000.00"
269,PS#10024,38-400 White Ribbed Lid - Heat Induction Liner Shiny Top 2900/case,"JR000051258
","2,000.00"
368,PS#10130,Hold Slips 2.83 X 5.5 White 20#,"5469
","2,000.00"
332,PS#10104,45-400 White Ribbed Lid - Heat Inductive Liner 2000/case,"JR00050270
","2,000.00"
321,PS#10084,89mm Clear with Black Print neckband,"10084
","2,000.00"
453,PS#10215,"QC Rejected 2"" Circle labels - Red 500/roll","S-5914
","2,000.00"
434,PS#10205,"Blank Inventory Circle Labels - Fluorescent Green, 1""",,"2,000.00"
549,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner","202108614302
","2,000.00"
547,PS#10297,"38-400 White Ribbed, Matte top Lids","524703
","2,000.00"
554,PS#10298,"45-400 Black Smooth Sides Lid, Heat Seal Liner","201909546695
","2,000.00"
579,PS#10314,Peppermint Twist ScentCerts TABS - 2 gram Heart Shaped scented desiccant,"520001605-1020
","2,000.00"
609,PS#10362,"45-400 Black Ribbed, Vented Heat Seal","2021025597299
","2,000.00"
610,PS#10362,"45-400 Black Ribbed, Vented Heat Seal","202106610918
","2,000.00"
611,PS#10363,"Blank Inventory Rectangle Labels - Fluorescent Yellow, 2 x 3""",,"2,000.00"
181,PS#10001,ALPHA-100cc White HDPE Bottle 38-400 750/case,"P192668
","2,000.00"
657,R003,0 Vcaps Clear Capsules,"9050810
","2,000,000.00"
130,L#205,"OxyGen Unlimited, Exceptional Health Products, OxyActin - 60ct Label",,197.00
288,PS#10034,25oz Black HDPE Canister 89-400 140 / case,"HCP-25-89B
",190.00
1066,R1358,Organic Maitake mushroom extract 1:1 [Grifola frondosa],"OMEP-2021-05-01
",19.992
36,CS#5270,Beef Marrow,"PH31-183168
",19.88
685,R028,Inositol (Myo-inositol),"CJCH-C-A102268
",19.724
1050,R1341,Broccoli Extract (5% Sulforaphane Glucosinolate) (Seeds),"BOE05-200901
",19.692
1429,R769,Coconut Water Powder 35%,"CYEZ-A-902248
",19.668
692,R034,Spirulina Powder,"OSP1701
",19.475
687,R029,Tribulus Terrestris Extract 45%,"CCJI191030-1
",19.46
907,R1176,Organic Bladderwrack Powder (Origin: Non-Chinese),NIGOBLDW-2010V009569,19.458
988,R1263,Sea Cucumber Extract (25% Mucopolysaccharides),"010220
",19.344
1424,R763,Moringa Oleifera Powder,"NIGMOLP-2103V563034
",19.328
1227,R390,Zinc Picolinate 20%,"226122020
",19.304
1298,R472,Valerian Extract 4:1,"CXC-A-A002314
",19.22
978,R1255,Trypsin 1:25,"030920
",19.20
811,R1068,(InfinergyÃÂ®) DiCaffeine Malate,"DCM-00100918
",19.148
1544,R947,Organic Red Peony Root Powder,"20210918
",19.129
621,PS#10373,"TRASH CAN - 32 GALLON, RED",,19.00
622,PS#10374,"TRASH CAN FLAT LID - 32 GALLON, RED",,19.00
634,PS#10394,"14 7/8 x 11 1/8 x 5"" Canning Jar Box and Partition Kit",,19.00
226,PS#10008-COMAR,400cc White HDPE Bottle 45-400,"7769493
",180.00
248,PS#10017,400cc White PET Bottle 45-400 180/case,"1945561
",180.00
221,PS#10008-ALPHA,400cc White HDPE Bottle 45-400,"P205559
",180.00
769,R1014,Chromium yeast (saccharomyces) 0.2% Chromium,"791916
",18.90
1236,R402,Sodium Copper Chlorophyllin,"20051911
",18.898
990,R1265,Organic Reishi Mushroom,"20200402-W08
",18.80
989,R1264,Organic Cordyceps (Cordyceps sinensis),"CMCC-A-718024
",18.672
821,R1078,Organic Valerian Root,"XCG-20201007
",18.65
820,R1076,Organic Hops,"PJH-180801
",18.65
818,R1074,Organic Damiana,"DMA-20021145
",18.65
1124,R206,Barberry Root Powder (Berberis vulgaris),"321862
",18.519
1346,R584,Arginine Alpha-Ketoglutarate (AKG) 2:1,"AA200301
",18.511
730,R059,"Collagen Bovine Hydrolyzed (Type I, III) (Peptides)","20190504
",18.50
1024,R1316,Hydrolyzed Beef Bone Broth Collagen (Nutra Food Ingredients),"HT20190509
",18.50
